icao24;typecode
4d2347;B38M
3900f5;DR40
3ff99a;BW60
424644;A333
02a1b4;A320
3f6c26;A400
39e685;BCS3
407834;A20N
38e03b;G2CA
440bcf;B752
440b93;C25A
e49847;SR20
40745e;B789
4cc4a9;B752
4ca9bc;A21N
3cea41;LJ45
8964fd;B78X
7c0c46;SR22
4d02c3;PC12
a46e47;D328
424628;A333
4cac14;A21N
4cac2d;B772
485f59;E35L
407180;B738
424380;B738
3ff7c8;EV97
683286;A20N
4d234d;B38M
48c2a1;B787
5083c9;B738
4d2346;B38M
a40cb6;D328
47a50d;B738
440bcd;B752
46b824;A21N
48c2a4;B38M
4a08ec;B738
40756a;A20N
01022d;A20N
440bc6;B752
44ceae;C510
47a3b0;B738
4d234e;B38M
4406f0;A319
49d418;B38M
3465d8;A332
3da478;DA42
502d44;BCS3
501c16;A320
4b3208;PIVE
469dc1;A20N
346692;A321
495150;A21N
5001db;A21N
4cafcc;A20N
4ca92b;B38M
4d2320;DH8D
4402f2;A320
407794;A32N
4cac35;A333
a39a9f;M28
503d6c;A332
424643;A20N
3ff791;DAL5
4078fd;B738
7cc51a;AP32
7c4462;BE58
0d8167;F900
009397;B06
405002;ULAC
c07cb6;CL30
448d50;C414
3d1d28;PULS
a07792;E145
3ef0e0;GLID
a6a81f;UHEL
4b4760;GLID
484515;P28A
4ca891;B738
c818c9;DH8C
a296db;EC20
a47d05;B738
4a404b;AN2
3ee8a5;GLID
4b51dc;GLID
e80860;BE20
3d2297;P28R
444888;PARA
401a38;BE23
a68293;ST75
3a600a;AS50
781047;B738
a63b41;BE40
ab5de1;B350
4030fa;ULAC
3ee248;GLID
e07583;B738
3fef67;FDCT
4b4339;G2CA
4058b2;GLID
ad7f3a;CRJ2
155559;YK40
3eedc4;GLID
459de8;BALL
ae06e2;BE20
3f6003;P3
3f043e;GLID
aa2d70;DHC2
7c2bf2;AS65
adaef6;BE20
405255;P28A
c081ad;R44
e486c2;A320
896196;A388
3d221f;DV20
ac06c3;PC12
3dd301;EC45
404bde;EUPA
402dde;R22
4ac9ea;A20N
c0260b;B412
3ef5ee;GLID
aabd16;DHC2
3d169b;C82R
a1df3a;F900
e48fa8;C25B
4b1aa4;HUSK
a206ae;EA50
78044b;B738
a0cbc5;GAZL
a9d712;B738
7c6179;A139
485207;E190
a69c14;CL30
7281fa;TEX2
a0693f;C550
ad185f;B712
4b4ddb;DUOD
ad690d;F5EX
a19268;BE20
4b2fdb;DA40
a85a50;CJ6
4b14a0;PC21
3f02df;GLID
4a8d24;D11
3f01f4;GLID
4aa536;PA24
401b28;P28A
4b3c88;FDCT
a5f1bc;BE40
ac4d6a;EC30
ae01d6;R135
c08423;AS55
8961db;RJ85
a7f286;B737
7c79da;CT4
406c54;RV7
3cf4ea;C25B
78069e;B737
600854;A320
0d8172;MD82
4aaa55;AS50
3e7099;SF25
3ef94f;GLID
e480aa;C208
a1d424;C560
3962a2;DR40
a05eaa;T34P
a5324b;S2P
a2a188;CL30
51006d;E75L
480867;H64
3ecf12;GLID
48460b;BE36
a15ebc;B763
adf596;E50P
ac894e;H500
a8b2e6;PRM1
403ea0;PPRO
a413bf;SW4
ad9477;B06
e48e62;S76
491284;FA7X
c07e57;CL65
a02f57;H500
39152e;B47G
a45c60;H269
395043;CE43
3ee8b0;GLID
a8ae7f;B752
aa5596;C550
406988;EFOX
a03110;F900
401a43;DH60
3ee33e;GLID
400f2c;PA31
781052;B737
a95d44;PC12
710118;A320
3ed848;VENT
78053b;B744
4008fa;B744
3ef53c;GLID
484b56;TBM8
a96f42;H25C
3fef72;CH70
3f0555;GLID
459df3;BALL
3e7bc9;AS22
3864e3;ZZZZ
adf433;EXEC
407060;GLID
1418d8;R66
405260;C42
3964f5;B738
3951eb;DA40
3d222a;C172
405627;GLID
3eeb39;GLID
8006eb;DH8D
a4c7df;GLF4
405ef3;DH8D
45a861;SR22
38861d;WT9
ad887b;DHC2
a63880;B06
385284;PA34
ae20c6;C17
3d2dd2;RV4
ae02c6;C130
4c3a52;BALL
aa499a;BE20
4c1c52;GAZL
4843c1;TOBA
403a96;UNDEFINED
401c96;J3
4a8185;C130
a8b28b;AC90
406d44;GLID
458c28;TOBA
867c54;DH8C
46868d;C177
ac3c05;H500
3ee3a4;GLID
a05a49;E45X
47869f;LNC2
a54ae5;H25B
3ef5a2;GLID
3e61d5;S10S
45bad8;GLID
c00054;DH8C
a8ee1f;FA62
a44f19;SW4
3f02ea;GLID
448583;C150
401c1e;GLID
4692ce;A320
a27940;C500
a4a21f;PAY1
3d324f;P28T
ab5360;BE20
3e5d6e;SF28
401b33;PA31
4b3c93;CRUZ
4b8d41;C25A
8a04af;B738
ae14ca;BE9L
3fd612;BALL
4053bc;GLID
4d02dc;PC12
3eddd8;DIMO
04c0e1;E190
ae5c77;B350
a1e369;M20T
3865d3;SV4
406319;A319
404519;ULAC
ae026b;K35R
7c6892;R44
3df8ce;B06
4b4879;GLID
acdd1b;B738
404de5;RV6
4b1f27;P180
ad956d;ST75
384631;RALL
aaf570;AS50
c07e62;B737
a32741;A139
a2ebca;A332
a04d62;C425
4850b3;DH8C
aa9451;B788
a28aab;T28
a4cf7f;E55P
406993;DISC
a200c2;T28
3814ad;J3
146497;MI8
4c25cd;C182
710123;A320
a15b46;C208
880663;BE40
484b61;NIMB
3e617a;DIMO
4b058a;C172
78090d;A320
862c96;AS50
ae19f9;A10
3e7bd4;SF25
39cc51;BE9L
3eeef1;GLID
e02501;LJ60
4594b8;GLID
acc3b4;A321
7c23ad;AS50
