T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;STACK
5-8-2019 01:05;20453740;6;5-8-2019 00:07;G05;ARTIP
5-8-2019 01:05;20453742;6;5-8-2019 00:51;D12;ARTIP
5-8-2019 01:05;20453743;6;5-8-2019 00:57;D04;RIVER
5-8-2019 01:35;20453744;6;5-8-2019 01:26;C06;RIVER
5-8-2019 01:50;20453726;;5-8-2019 01:38;GL;null
5-8-2019 02:05;20453745;6;5-8-2019 01:52;F07;ARTIP
5-8-2019 02:35;20453746;6;5-8-2019 02:20;F05;ARTIP
5-8-2019 03:20;20453800;;5-8-2019 03:03;HG0;null
5-8-2019 03:20;20453752;6;5-8-2019 03:07;E20;RIVER
5-8-2019 03:35;20453754;18R;5-8-2019 03:23;E06;SUGOL
5-8-2019 03:35;20453767;18R;5-8-2019 03:25;D02;SUGOL
5-8-2019 03:35;20453760;18R;5-8-2019 03:27;F09;ARTIP
5-8-2019 03:50;20453769;27;5-8-2019 03:29;F03;ARTIP
5-8-2019 03:50;20453761;18R;5-8-2019 03:30;R81;ARTIP
5-8-2019 03:50;20453766;18R;5-8-2019 03:33;E02;SUGOL
5-8-2019 03:50;20453762;18R;5-8-2019 03:35;F06;ARTIP
5-8-2019 03:50;20453772;18R;5-8-2019 03:39;E22;SUGOL
5-8-2019 03:50;20453755;18R;5-8-2019 03:42;E24;ARTIP
5-8-2019 04:05;20453768;18R;5-8-2019 03:45;F04;ARTIP
5-8-2019 04:05;20453775;18R;5-8-2019 03:53;E09;ARTIP
5-8-2019 04:20;20453773;18R;5-8-2019 04:03;G07;SUGOL
5-8-2019 04:35;20453777;18R;5-8-2019 04:14;G06;ARTIP
5-8-2019 04:35;20453792;18R;5-8-2019 04:21;F08;SUGOL
5-8-2019 04:35;20453783;18R;5-8-2019 04:25;F07;ARTIP
5-8-2019 04:50;20453795;18R;5-8-2019 04:29;G04;SUGOL
5-8-2019 04:50;20453794;18R;5-8-2019 04:31;D53;SUGOL
5-8-2019 04:50;20453780;18R;5-8-2019 04:34;E18;SUGOL
5-8-2019 04:50;20453779;18R;5-8-2019 04:36;E07;RIVER
5-8-2019 04:50;20453801;18R;5-8-2019 04:41;G03;ARTIP
5-8-2019 05:05;20453798;18R;5-8-2019 04:45;A31;RIVER
5-8-2019 05:05;20453805;18R;5-8-2019 04:48;E08;ARTIP
5-8-2019 05:05;20453799;18R;5-8-2019 04:52;A44;ARTIP
5-8-2019 05:20;20453804;18C;5-8-2019 04:59;D48;ARTIP
5-8-2019 05:20;20453817;18R;5-8-2019 05:00;A74;RIVER
5-8-2019 05:20;20453835;18R;5-8-2019 05:02;D10;SUGOL
5-8-2019 05:20;20453808;18C;5-8-2019 05:02;B24;ARTIP
5-8-2019 05:20;20453818;18R;5-8-2019 05:03;D43;SUGOL
5-8-2019 05:20;20453807;18C;5-8-2019 05:04;G76;ARTIP
5-8-2019 05:20;20453812;18R;5-8-2019 05:05;D07;SUGOL
5-8-2019 05:20;20453814;24;5-8-2019 05:06;D2;null
5-8-2019 05:20;20453815;18C;5-8-2019 05:06;B36;ARTIP
5-8-2019 05:20;20453819;18C;5-8-2019 05:08;A62;ARTIP
5-8-2019 05:20;20453811;18R;5-8-2019 05:08;B28;ARTIP
5-8-2019 05:20;20453816;18C;5-8-2019 05:09;D54;ARTIP
5-8-2019 05:20;20453813;18C;5-8-2019 05:11;C18;ARTIP
5-8-2019 05:20;20453836;18C;5-8-2019 05:12;E20;ARTIP
5-8-2019 05:35;20453823;18R;5-8-2019 05:13;E24;SUGOL
5-8-2019 05:35;20453826;18C;5-8-2019 05:14;B23;ARTIP
5-8-2019 05:35;20453837;18C;5-8-2019 05:16;F05;ARTIP
5-8-2019 05:35;20453820;18R;5-8-2019 05:17;A75;ARTIP
5-8-2019 05:35;20453844;18C;5-8-2019 05:19;C06;ARTIP
5-8-2019 05:35;20453865;18R;5-8-2019 05:19;F06;SUGOL
5-8-2019 05:35;20453838;18C;5-8-2019 05:20;C08;ARTIP
5-8-2019 05:20;20453861;;5-8-2019 05:20;;null
5-8-2019 05:35;20453843;18R;5-8-2019 05:21;C13;RIVER
5-8-2019 05:35;20453827;18C;5-8-2019 05:22;G09;ARTIP
5-8-2019 05:35;20453824;18C;5-8-2019 05:24;E17;SUGOL
5-8-2019 05:35;20453875;18R;5-8-2019 05:25;H03;RIVER
5-8-2019 05:35;20453846;18C;5-8-2019 05:26;A45;ARTIP
5-8-2019 05:35;20453914;21;5-8-2019 05:27;C2;null
5-8-2019 05:35;20453845;18R;5-8-2019 05:27;B16;RIVER
5-8-2019 05:50;20453885;18C;5-8-2019 05:29;A32;ARTIP
5-8-2019 05:50;20453879;18R;5-8-2019 05:30;A52;RIVER
5-8-2019 05:50;20453876;18C;5-8-2019 05:31;B20;ARTIP
5-8-2019 05:50;20453866;18C;5-8-2019 05:33;F04;ARTIP
5-8-2019 05:20;20453849;;5-8-2019 05:34;;null
5-8-2019 05:35;20453889;;5-8-2019 05:36;;null
5-8-2019 05:50;20453880;18C;5-8-2019 05:36;A72;ARTIP
5-8-2019 05:50;20453886;18C;5-8-2019 05:37;B20;ARTIP
5-8-2019 05:50;20453899;18R;5-8-2019 05:38;A65;SUGOL
5-8-2019 05:50;20453893;18C;5-8-2019 05:40;C14;ARTIP
5-8-2019 05:50;20453906;18R;5-8-2019 05:40;D47;SUGOL
5-8-2019 05:50;20453916;18C;5-8-2019 05:42;A33;ARTIP
5-8-2019 06:05;20453913;18R;5-8-2019 05:43;A43;RIVER
