T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;SID;FLOW_CONTROL_STATE;CTOT
5-8-2019 01:05;20453741;36L;5-8-2019 00:08;G07;ARN1Z;CLEARED;null
5-8-2019 01:35;20453800;;5-8-2019 01:25;;;CLEARED;null
5-8-2019 02:20;20453749;36L;5-8-2019 02:09;C08;REN1Z;CLEARED;null
5-8-2019 03:05;20453753;36L;5-8-2019 02:55;C10;REN1Z;CLEARED;null
5-8-2019 03:20;20453756;24;5-8-2019 03:09;D44;KDD1S;CLEARED;null
5-8-2019 03:20;20453764;24;5-8-2019 03:10;D57;REN1S;CLEARED;null
5-8-2019 03:20;20453758;24;5-8-2019 03:12;C11;KDD1S;CLEARED;null
5-8-2019 03:35;20453757;24;5-8-2019 03:13;D03;REN1S;NOT_RESTRICTED;5-8-2019 03:17
5-8-2019 03:35;20453765;24;5-8-2019 03:15;D02;ARN2S;CLEARED;null
5-8-2019 03:35;20453763;24;5-8-2019 03:17;D54;REN1S;NOT_RESTRICTED;5-8-2019 03:16
5-8-2019 03:35;20453759;24;5-8-2019 03:20;H02;KDD1S;CLEARED;null
5-8-2019 03:50;20453770;24;5-8-2019 03:37;D56;REN1S;NOT_RESTRICTED;5-8-2019 03:31
5-8-2019 03:50;20453776;24;5-8-2019 03:38;D55;LOP2S;CLEARED;null
5-8-2019 04:05;20453774;24;5-8-2019 03:46;C09;REN1S;NOT_RESTRICTED;5-8-2019 03:47
5-8-2019 04:05;20453781;24;5-8-2019 03:58;D07;VAL2S;CLEARED;null
5-8-2019 04:20;20453778;24;5-8-2019 04:02;D41;REN1S;NOT_RESTRICTED;5-8-2019 03:57
5-8-2019 04:20;20453790;24;5-8-2019 04:08;D10;VAL2S;CLEARED;null
5-8-2019 04:20;20453789;24;5-8-2019 04:09;D53;REN1S;NOT_RESTRICTED;5-8-2019 04:11
5-8-2019 04:20;20453787;24;5-8-2019 04:11;E07;ARN2S;CLEARED;null
5-8-2019 04:20;20453788;24;5-8-2019 04:12;D49;KDD1S;NOT_RESTRICTED;5-8-2019 04:12
5-8-2019 04:35;20453786;24;5-8-2019 04:14;D51;REN1S;NOT_RESTRICTED;5-8-2019 04:10
5-8-2019 04:35;20453784;24;5-8-2019 04:16;E04;REN1S;CLEARED;5-8-2019 04:17
5-8-2019 04:35;20453793;24;5-8-2019 04:20;C08;VAL2S;CLEARED;5-8-2019 04:26
5-8-2019 04:35;20453796;24;5-8-2019 04:24;C10;REN1S;NOT_RESTRICTED;5-8-2019 04:23
5-8-2019 04:50;20453803;24;5-8-2019 04:29;D48;VAL2S;NOT_RESTRICTED;5-8-2019 04:33
5-8-2019 04:50;20453810;24;5-8-2019 04:36;C07;LOP2S;CLEARED;null
5-8-2019 04:50;20453785;21;5-8-2019 04:38;A2;LNO2B;;5-8-2019 04:43
5-8-2019 05:05;20453809;24;5-8-2019 04:45;D54;REN1S;NOT_RESTRICTED;5-8-2019 04:49
5-8-2019 05:05;20453797;24;5-8-2019 04:47;E05;REN1S;NOT_RESTRICTED;5-8-2019 04:49
5-8-2019 05:05;20453821;24;5-8-2019 04:48;C05;KDD1S;CLEARED;null
5-8-2019 05:05;20453825;24;5-8-2019 04:50;A74;KDD1S;CLEARED;null
5-8-2019 05:05;20453832;18L;5-8-2019 04:56;B28;ARN3E;CLEARED;null
5-8-2019 05:05;20453829;18L;5-8-2019 04:58;C11;AND2E;CLEARED;null
5-8-2019 05:20;20453791;18L;5-8-2019 04:59;D43;REN1E;NOT_RESTRICTED;5-8-2019 05:01
5-8-2019 05:20;20453830;24;5-8-2019 05:00;C13;KDD1S;NOT_RESTRICTED;5-8-2019 05:01
5-8-2019 05:20;20453861;3;5-8-2019 05:01;;GIK2L;CLEARED;null
5-8-2019 05:20;20453867;24;5-8-2019 05:01;A3;SOM1B;CLEARED;null
5-8-2019 05:20;20453834;18L;5-8-2019 05:01;B24;ARN3E;CLEARED;null
5-8-2019 05:20;20453831;24;5-8-2019 05:01;C06;KDD1S;NOT_RESTRICTED;5-8-2019 05:02
5-8-2019 05:20;20453864;18L;5-8-2019 05:02;C18;AND2E;CLEARED;null
5-8-2019 05:20;20453849;3;5-8-2019 05:03;;GIK2L;CLEARED;null
5-8-2019 05:20;20453840;24;5-8-2019 05:03;C1;WDY1B;NOT_RESTRICTED;5-8-2019 05:05
5-8-2019 05:20;20453842;24;5-8-2019 05:03;A64;KDD1S;CLEARED;null
5-8-2019 05:20;20453839;24;5-8-2019 05:07;D2;WDY1B;NOT_RESTRICTED;5-8-2019 05:05
5-8-2019 05:20;20453862;24;5-8-2019 05:07;C14;KDD1S;NOT_RESTRICTED;5-8-2019 05:08
5-8-2019 05:20;20453871;21;5-8-2019 05:08;;RON2K;CLEARED;null
5-8-2019 05:20;20453870;24;5-8-2019 05:08;A72;VAL2S;CLEARED;null
5-8-2019 05:20;20453852;24;5-8-2019 05:09;B2;LUN1B;NOT_RESTRICTED;5-8-2019 05:10
5-8-2019 05:20;20453860;21;5-8-2019 05:10;;RON2K;NOT_RESTRICTED;5-8-2019 05:10
5-8-2019 05:20;20453847;24;5-8-2019 05:10;D31;VAL2S;CLEARED;null
5-8-2019 05:20;20453859;21;5-8-2019 05:11;;LNO6K;CLEARED;null
5-8-2019 05:20;20453856;24;5-8-2019 05:12;H04;KDD1S;NOT_RESTRICTED;5-8-2019 05:14
5-8-2019 05:20;20453841;18L;5-8-2019 05:12;B36;AND2E;CLEARED;null
5-8-2019 05:35;20453863;24;5-8-2019 05:13;C16;KDD1S;NOT_RESTRICTED;5-8-2019 05:12
5-8-2019 05:35;20453855;18L;5-8-2019 05:15;J83;REN1E;CLEARED;null
5-8-2019 05:35;20453869;24;5-8-2019 05:16;H05;VAL2S;NOT_RESTRICTED;5-8-2019 05:18
5-8-2019 05:35;20453850;18L;5-8-2019 05:16;B15;REN1E;NOT_RESTRICTED;5-8-2019 05:19
5-8-2019 05:35;20453873;24;5-8-2019 05:16;A1;WDY1B;NOT_RESTRICTED;5-8-2019 05:22
5-8-2019 05:35;20453889;3;5-8-2019 05:16;;ATR2L;CLEARED;null
