T_UPDATE;FLIGHT_ID;SFPL_ID;CALLSIGN;REGISTRATION;OPERATOR;TYPE_OF_TRANSPONDER;SSR;FLIGHT_RULES;FLIGHT_TYPE;T0;ICAO_ACTYPE;WTC;ADEP;DEST;TAS;RFL;NFL;XFL;CFMU_DELAY;CONTROL;STATUS;FPOS_TRACK_ID
12-9-2021 04:50:10;21519111;958;KLM588;PHAOC;KLM;L;533;I;INBOUND;12-9-2021 00:03:00;A332;H;DNMM;EHAM;490;350;220;null;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 04:20:10;21519112;959;KLM86;PHBQB;KLM;L;3240;I;INBOUND;12-9-2021 00:06:52;B772;H;CYYZ;EHAM;485;370;250;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 04:20:11;21519113;960;TRA5471;PHHXO;TRA;L;1093;I;OUTBOUND;12-9-2021 00:20:00;B738;M;EHAM;LEMH;444;370;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 06:20:12;21519114;961;TRA691B;PHHZL;TRA;L;115;I;OUTBOUND;12-9-2021 00:25:01;B738;M;EHAM;LIEO;445;370;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 04:35:11;21519115;962;KLM428;PHAKF;KLM;L;512;I;INBOUND;12-9-2021 00:29:01;A333;H;OMDB;EHAM;486;340;260;null;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 04:35:10;21519116;963;TRA11T;PHHSG;TRA;L;1112;I;OUTBOUND;12-9-2021 00:30:01;B738;M;EHAM;LEMG;445;370;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 04:35:11;21519117;964;TRA759E;PHHXL;TRA;L;1108;I;OUTBOUND;12-9-2021 00:30:01;B738;M;EHAM;GMMX;443;410;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 04:35:11;21519118;965;TRA7N;PHHXC;TRA;L;110;I;OUTBOUND;12-9-2021 00:30:01;B738;M;EHAM;LGSA;441;370;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 04:50:11;21519119;966;CES771;B7349;CES;L;1871;I;INBOUND;12-9-2021 00:31:01;B77W;H;ZSPD;EHAM;477;276;260;null;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 04:35:11;21519120;967;TFL31W;PHTFU;TFL;L;104;I;OUTBOUND;12-9-2021 00:35:01;B38M;M;EHAM;LGKP;447;370;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 05:20:12;21519121;968;TRA55F;PHHZD;TRA;L;1106;I;OUTBOUND;12-9-2021 00:50:00;B738;M;EHAM;LEIB;445;350;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
