T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;STACK
11-9-2021 21:20:12;21519097;null;12-9-2021;null;null
12-9-2021 01:05:18;21519092;18R;12-9-2021 00:00:47;B31;ARTIP
12-9-2021 01:05:19;21519110;null;12-9-2021 00:14:00;HG0;null
12-9-2021 01:05:19;21519094;18R;12-9-2021 00:14:10;S79;ARTIP
12-9-2021 01:05:19;21519093;18R;12-9-2021 00:20:28;D03;ARTIP
12-9-2021 01:05:20;21519098;18R;12-9-2021 00:54:00;E07;ARTIP
12-9-2021 01:20:10;21519095;18R;12-9-2021 01:10:20;D41;ARTIP
12-9-2021 02:35:11;21519105;18R;12-9-2021 02:16:19;D57;ARTIP
12-9-2021 02:50:10;21519106;18R;12-9-2021 02:30:33;R81;ARTIP
12-9-2021 03:35:11;21519107;18R;12-9-2021 03:15:16;E06;ARTIP
12-9-2021 03:50:10;21519112;18R;12-9-2021 03:31:33;E05;SUGOL
12-9-2021 03:50:11;21519109;18R;12-9-2021 03:39:04;R80;ARTIP
12-9-2021 04:05:13;21519115;18R;12-9-2021 03:54:18;F06;ARTIP
12-9-2021 04:20:10;21519111;18R;12-9-2021 04:00:20;E18;RIVER
12-9-2021 04:20:11;21519119;18R;12-9-2021 04:07:52;E22;ARTIP
12-9-2021 04:50:10;21519139;18R;12-9-2021 04:29:22;F09;SUGOL
12-9-2021 04:50:11;21519127;18R;12-9-2021 04:31:00;D04;SUGOL
12-9-2021 04:50:11;21519122;18R;12-9-2021 04:33:17;G79;ARTIP
12-9-2021 04:50:12;21519135;18R;12-9-2021 04:39:20;B24;ARTIP
12-9-2021 04:50:12;21519141;18R;12-9-2021 04:40:38;E20;SUGOL
12-9-2021 05:05:12;21519133;18R;12-9-2021 04:45:28;E24;ARTIP
12-9-2021 05:05:13;21519138;18R;12-9-2021 04:56:02;A64;ARTIP
12-9-2021 05:05:13;21519125;18R;12-9-2021 04:57:28;E19;RIVER
12-9-2021 05:20:11;21519150;18R;12-9-2021 05:00:45;F08;SUGOL
12-9-2021 05:20:11;21519144;18C;12-9-2021 05:01:24;A51;ARTIP
12-9-2021 05:20:12;21519130;18C;12-9-2021 05:02:59;E75;ARTIP
12-9-2021 05:20:12;21519149;18R;12-9-2021 05:03:20;B20;RIVER
12-9-2021 05:20:12;21519154;18R;12-9-2021 05:04:36;G09;SUGOL
12-9-2021 05:20:12;21519137;18C;12-9-2021 05:04:48;E09;ARTIP
12-9-2021 05:20:12;21519156;18R;12-9-2021 05:06:30;E07;SUGOL
12-9-2021 05:20:12;21519143;18C;12-9-2021 05:06:55;A41;ARTIP
12-9-2021 05:20:12;21519151;18C;12-9-2021 05:08:29;C08;ARTIP
12-9-2021 05:20:12;21519165;18R;12-9-2021 05:08:34;D10;SUGOL
12-9-2021 05:20:13;21519147;18C;12-9-2021 05:10:17;B31;ARTIP
12-9-2021 05:20:13;21519157;18R;12-9-2021 05:10:57;S77;SUGOL
12-9-2021 05:20:13;21519134;18C;12-9-2021 05:11:26;F05;ARTIP
