T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;SID;FLOW_CONTROL_STATE;CTOT
21-7-2020 01:05:23;21010719;36L;21-7-2020 00:54:17;S90;BER1Z;CLEARED;
21-7-2020 01:35:12;21010738;HEL;21-7-2020 01:20:00;HG0;;CLEARED;
21-7-2020 01:50:13;21010725;36L;21-7-2020 01:30:11;S77;SPY3V;CLEARED;
21-7-2020 01:50:14;21010726;36L;21-7-2020 01:36:22;S82;SPY3V;CLEARED;
21-7-2020 03:20:14;21010732;24;21-7-2020 03:06:36;D47;KDD1S;CLEARED;
21-7-2020 04:05:13;21010735;36L;21-7-2020 03:46:11;D44;REN1Z;CLEARED;
21-7-2020 04:05:13;21010734;36L;21-7-2020 03:48:10;C13;REN1Z;CLEARED;
21-7-2020 04:05:14;21010736;36L;21-7-2020 03:50:20;D56;REN1Z;CLEARED;
21-7-2020 04:20:15;21010745;36L;21-7-2020 04:10:16;C10;ARN1Z;CLEARED;
21-7-2020 04:35:14;21010744;36L;21-7-2020 04:16:06;B17;REN1Z;CLEARED;
21-7-2020 04:35:15;21010746;36L;21-7-2020 04:17:55;C18;KDD1Z;CLEARED;
21-7-2020 04:35:15;21010747;36L;21-7-2020 04:19:08;D49;REN1Z;CLEARED;
21-7-2020 04:35:15;21010752;36L;21-7-2020 04:20:59;D03;KDD1Z;CLEARED;
21-7-2020 04:35:15;21010754;36L;21-7-2020 04:26:39;C14;KDD1Z;CLEARED;
21-7-2020 04:50:13;21010749;36L;21-7-2020 04:31:29;C11;KDD1Z;CLEARED;
21-7-2020 04:50:13;21010753;36L;21-7-2020 04:33:02;D57;REN1Z;CLEARED;
21-7-2020 04:50:13;21010755;36L;21-7-2020 04:41:10;D28;REN1V;CLEARED;
21-7-2020 05:20:14;21010772;21;21-7-2020 05:01:07;;GIK2M;CLEARED;
21-7-2020 05:20:14;21010937;06;21-7-2020 05:01:50;JA;WDY1A;CLEARED;
21-7-2020 05:20:14;21010768;21;21-7-2020 05:04:01;;GIK2M;CLEARED;
21-7-2020 05:20:14;21010763;36L;21-7-2020 05:05:51;C15;KDD1V;CLEARED;
21-7-2020 05:20:14;21010770;06;21-7-2020 05:07:40;C1;LUN1A;CLEARED;
21-7-2020 05:20:14;21010778;21;21-7-2020 05:07:53;;RON2K;CLEARED;
21-7-2020 05:20:15;21010776;36L;21-7-2020 05:10:10;H02;VOL2V;CLEARED;
21-7-2020 05:20:15;21010769;21;21-7-2020 05:11:06;;RON2K;CLEARED;
21-7-2020 05:20:15;21010774;21;21-7-2020 05:13:05;;RON2K;CLEARED;
21-7-2020 05:35:17;21010767;36L;21-7-2020 05:13:36;D55;KDD1V;CLEARED;
21-7-2020 05:35:17;21010785;21;21-7-2020 05:14:44;;GIK2M;CLEARED;
21-7-2020 05:35:17;21010775;36L;21-7-2020 05:15:34;D53;KDD1V;CLEARED;
21-7-2020 05:35:17;21010771;06;21-7-2020 05:17:21;HGR;WDY1A;CLEARED;
21-7-2020 05:35:18;21010777;36L;21-7-2020 05:20:58;C16;KDD1V;CLEARED;
21-7-2020 05:35:18;21010799;06;21-7-2020 05:24:46;B1;WDY1A;CLEARED;
21-7-2020 05:50:15;21010789;22;21-7-2020 05:29:09;GD;AND2G;CLEARED;
21-7-2020 02:50:14;21010798;;21-7-2020 05:30:00;;;CLEARED;
21-7-2020 05:50:15;21010800;21;21-7-2020 05:31:15;;LNO6K;CLEARED;
21-7-2020 05:50:15;21010797;21;21-7-2020 05:31:19;;GIK2M;CLEARED;
21-7-2020 05:50:16;21010779;36L;21-7-2020 05:37:30;D02;REN1V;CLEARED;
21-7-2020 05:50:17;21010803;21;21-7-2020 05:43:35;;RON2K;CLEARED;
21-7-2020 06:05:15;21010804;36L;21-7-2020 05:45:19;D41;REN1V;CLEARED;
21-7-2020 06:05:16;21010809;36L;21-7-2020 05:47:06;C07;KDD1V;CLEARED;
21-7-2020 06:05:16;21010802;05;21-7-2020 05:49:00;KLS;;CLEARED;
21-7-2020 06:05:16;21010827;21;21-7-2020 05:50:15;;VEL3K;CLEARED;
21-7-2020 06:05:16;21010980;21;21-7-2020 05:51:07;;ATR2M;CLEARED;
21-7-2020 06:05:17;21010813;36L;21-7-2020 05:55:27;D16;ARN1V;CLEARED;
21-7-2020 06:05:17;21010826;21;21-7-2020 05:55:30;;RON2K;CLEARED;
21-7-2020 03:20:13;21010835;;21-7-2020 06:00:00;;;CLEARED;
21-7-2020 06:35:14;21010981;;21-7-2020 06:02:31;;;CLEARED;
21-7-2020 06:20:14;21010831;21;21-7-2020 06:03:18;;GIK2M;CLEARED;
21-7-2020 06:20:14;21010832;05;21-7-2020 06:04:57;F;;CLEARED;
21-7-2020 06:20:14;21010964;21;21-7-2020 06:06:09;;ATR2M;CLEARED;
21-7-2020 06:20:14;21010833;;21-7-2020 06:08:52;;;CLEARED;
21-7-2020 06:20:15;21010834;27;21-7-2020 06:09:22;;NG81;CLEARED;
21-7-2020 06:35:14;21010839;36L;21-7-2020 06:14:09;B15;REN1V;CLEARED;
21-7-2020 06:35:14;21010830;24;21-7-2020 06:19:42;JA;TLP2B;CLEARED;
21-7-2020 07:05:13;21010848;;21-7-2020 06:20:01;;;CLEARED;
21-7-2020 06:35:15;21010944;05;21-7-2020 06:24:44;F;;CLEARED;
21-7-2020 06:35:15;21010856;23;21-7-2020 06:25:43;J;DOB2D;CLEARED;
21-7-2020 06:35:15;21011040;21;21-7-2020 06:28:03;;LER2M;CLEARED;
21-7-2020 06:35:15;21010829;05;21-7-2020 06:28:11;C1;;CLEARED;
21-7-2020 07:05:13;21010854;;21-7-2020 06:30:19;;;CLEARED;
21-7-2020 07:05:12;21010972;;21-7-2020 06:34:57;;;CLEARED;
21-7-2020 07:20:15;21010866;;21-7-2020 06:40:19;;;CLEARED;
21-7-2020 06:50:16;21010851;36L;21-7-2020 06:41:33;C13;KDD1V;CLEARED;
21-7-2020 06:50:16;21010887;23;21-7-2020 06:42:56;K;;CLEARED;
21-7-2020 04:05:13;21010873;;21-7-2020 06:45:00;;;CLEARED;
21-7-2020 07:05:14;21010870;;21-7-2020 06:45:19;;;CLEARED;
21-7-2020 07:05:12;21011034;22;21-7-2020 06:45:50;GD;LOP1G;CLEARED;
21-7-2020 07:05:13;21010865;36L;21-7-2020 06:46:36;A51;VOL2V;CLEARED;
21-7-2020 07:05:13;21010843;23;21-7-2020 06:48:13;K;SPO2D;CLEARED;
21-7-2020 07:05:13;21010860;36L;21-7-2020 06:51:21;C08;REN1V;CLEARED;
21-7-2020 07:05:13;21010871;21;21-7-2020 06:52:36;AZS;LNO2B;CLEARED;
21-7-2020 07:05:14;21010897;05;21-7-2020 06:55:00;F;;CLEARED;
21-7-2020 07:05:14;21010857;24;21-7-2020 06:55:52;F;TLP2B;CLEARED;
21-7-2020 07:05:14;21010890;23;21-7-2020 06:57:49;GE;DOB2D;CLEARED;
21-7-2020 07:05:14;21010878;36L;21-7-2020 06:58:05;E24;VOL2V;CLEARED;
21-7-2020 07:05:14;21010892;05;21-7-2020 06:59:14;H;;CLEARED;
21-7-2020 04:20:14;21010889;;21-7-2020 07:00:00;;;CLEARED;
21-7-2020 07:20:15;21011046;;21-7-2020 07:00:17;;;CLEARED;
21-7-2020 07:20:15;21010885;04;21-7-2020 07:04:04;GD;REN1F;CLEARED;
21-7-2020 07:20:16;21011043;06;21-7-2020 07:05:41;HGR;;CLEARED;
21-7-2020 07:20:16;21010957;21;21-7-2020 07:07:34;;RWYTRK;CLEARED;
21-7-2020 07:20:16;21010858;23;21-7-2020 07:07:40;K;;CLEARED;
21-7-2020 07:20:16;21011109;05;21-7-2020 07:07:41;FS;;CLEARED;
21-7-2020 07:20:16;21010894;36L;21-7-2020 07:08:10;D51;REN1V;CLEARED;
21-7-2020 07:20:16;21010879;36L;21-7-2020 07:09:45;B27;REN1V;CLEARED;
21-7-2020 07:20:16;21010898;05;21-7-2020 07:11:53;FS;;CLEARED;
21-7-2020 07:35:14;21010929;;21-7-2020 07:13:00;;;CLEARED;
21-7-2020 07:20:17;21011031;22;21-7-2020 07:13:00;HG0;;CLEARED;
21-7-2020 04:35:14;21010908;;21-7-2020 07:15:00;;;CLEARED;
21-7-2020 07:35:13;21010904;;21-7-2020 07:17:10;;;CLEARED;
21-7-2020 07:35:13;21010881;21;21-7-2020 07:20:23;;VEL3K;CLEARED;
21-7-2020 07:35:13;21010891;27;21-7-2020 07:21:04;;NG227;CLEARED;
21-7-2020 07:35:13;21010888;06;21-7-2020 07:22:00;JA;WDY1A;CLEARED;
21-7-2020 07:35:13;21011135;05;21-7-2020 07:22:25;C1;;CLEARED;
21-7-2020 07:35:13;21011172;23;21-7-2020 07:22:54;;LW1;CLEARED;
21-7-2020 07:35:14;21010906;36C;21-7-2020 07:23:20;B35;WDY2W;CLEARED;
21-7-2020 07:35:14;21010902;36C;21-7-2020 07:24:55;A56;IVL3W;CLEARED;
21-7-2020 07:35:12;21011212;;21-7-2020 07:26:00;;;CLEARED;
21-7-2020 07:35:14;21010903;36C;21-7-2020 07:26:41;D10;IVL3W;CLEARED;
21-7-2020 06:35:15;21010895;04;21-7-2020 07:30:00;GD;REN1F;CLEARED;
21-7-2020 04:50:12;21010931;;21-7-2020 07:30:00;;;CLEARED;
21-7-2020 06:20:13;21010973;;21-7-2020 07:30:00;;;CLEARED;
21-7-2020 07:50:14;21011170;23;21-7-2020 07:30:14;;LW1;CLEARED;
21-7-2020 07:50:15;21010920;36C;21-7-2020 07:30:23;D44;WDY2W;CLEARED;
21-7-2020 07:50:15;21011220;22;21-7-2020 07:30:55;GD;REN1G;CLEARED;
21-7-2020 07:50:15;21010914;36C;21-7-2020 07:31:51;B36;IVL3W;CLEARED;
21-7-2020 07:50:15;21010886;06;21-7-2020 07:32:16;L;;CLEARED;
21-7-2020 07:50:15;21010956;36C;21-7-2020 07:33:19;D07;WDY2W;CLEARED;
21-7-2020 07:50:15;21010905;05;21-7-2020 07:33:37;D;;CLEARED;
21-7-2020 07:50:16;21011124;05;21-7-2020 07:35:00;I5;;CLEARED;
21-7-2020 07:50:16;21010919;36C;21-7-2020 07:35:08;B16;WDY2W;CLEARED;
21-7-2020 07:50:16;21010915;36L;21-7-2020 07:35:39;D03;SPY3V;CLEARED;
21-7-2020 07:50:16;21010910;36C;21-7-2020 07:36:29;C09;IVL3W;CLEARED;
21-7-2020 07:50:16;21011042;21;21-7-2020 07:36:56;;KOL2M;CLEARED;
21-7-2020 07:50:16;21010916;36L;21-7-2020 07:37:34;J83;BER4V;CLEARED;
21-7-2020 07:35:14;21010953;23;21-7-2020 07:38:00;KLS;;CLEARED;
21-7-2020 07:50:16;21010934;36C;21-7-2020 07:38:10;B28;NYK4W;CLEARED;
21-7-2020 07:50:16;21011101;23;21-7-2020 07:38:20;K;PAM2D;CLEARED;
21-7-2020 07:50:16;21011102;22;21-7-2020 07:39:00;HG0;;CLEARED;
21-7-2020 07:50:16;21010923;36C;21-7-2020 07:39:16;B17;WDY2W;CLEARED;
21-7-2020 07:50:16;21010913;36C;21-7-2020 07:40:27;D16;NYK4W;CLEARED;
21-7-2020 07:50:17;21010907;36C;21-7-2020 07:41:38;D52;WDY2W;CLEARED;
21-7-2020 07:50:17;21010936;05;21-7-2020 07:42:17;I5;GRN1L;CLEARED;
21-7-2020 07:50:17;21010940;03;21-7-2020 07:42:34;;VEL2J;CLEARED;
21-7-2020 07:50:17;21010921;36C;21-7-2020 07:43:12;B93;NYK4W;CLEARED;
21-7-2020 07:50:17;21010928;36L;21-7-2020 07:43:51;A75;BER4V;CLEARED;
21-7-2020 07:50:17;21010927;05;21-7-2020 07:44:24;I5;GRN1L;CLEARED;
21-7-2020 08:05:19;21010932;36C;21-7-2020 07:44:32;C05;IVL3W;CLEARED;
21-7-2020 07:20:16;21011191;;21-7-2020 07:45:00;;;CLEARED;
21-7-2020 07:20:16;21011193;;21-7-2020 07:45:00;;;CLEARED;
21-7-2020 07:20:16;21011196;;21-7-2020 07:45:00;;;CLEARED;
21-7-2020 08:05:19;21010926;36C;21-7-2020 07:46:05;C15;IVL3W;CLEARED;
21-7-2020 08:05:19;21010930;36L;21-7-2020 07:46:24;D53;SPY3V;CLEARED;
21-7-2020 08:05:20;21011045;23;21-7-2020 07:47:00;NNA;;CLEARED;
21-7-2020 08:05:19;21010924;36C;21-7-2020 07:47:10;D43;WDY2W;CLEARED;
21-7-2020 08:05:20;21010950;36C;21-7-2020 07:48:20;D49;IVL3W;CLEARED;
21-7-2020 08:05:20;21010994;;21-7-2020 07:49:00;;;CLEARED;
21-7-2020 08:05:20;21010909;36C;21-7-2020 07:49:31;C12;WDY2W;CLEARED;
21-7-2020 08:20:17;21010933;;21-7-2020 07:50:00;;;CLEARED;
21-7-2020 07:20:16;21011195;;21-7-2020 07:50:00;;;CLEARED;
21-7-2020 07:35:14;21011197;24L;21-7-2020 07:50:00;;VK6L;CLEARED;
21-7-2020 08:05:20;21010935;36C;21-7-2020 07:50:38;D23;NYK4W;CLEARED;
21-7-2020 08:05:20;21011105;36C;21-7-2020 07:51:45;D56;WDY2W;CLEARED;
21-7-2020 08:05:20;21011190;24;21-7-2020 07:52:33;;VK6L;CLEARED;
21-7-2020 08:05:21;21010965;36C;21-7-2020 07:53:16;A65;WDY2W;CLEARED;
21-7-2020 07:50:17;21011266;;21-7-2020 07:54:00;;;CLEARED;
21-7-2020 08:05:21;21010952;36C;21-7-2020 07:54:08;D12;IVL3W;CLEARED;
21-7-2020 08:05:21;21011192;24L;21-7-2020 07:54:14;;VK6L;CLEARED;
21-7-2020 08:05:21;21011169;25;21-7-2020 07:54:40;;VFR G;CLEARED;
21-7-2020 08:05:21;21010951;36C;21-7-2020 07:55:28;C16;WDY2W;CLEARED;
21-7-2020 08:05:21;21011168;25;21-7-2020 07:56:18;;VFR G;CLEARED;
21-7-2020 08:05:21;21011198;24L;21-7-2020 07:56:33;;VK6L;CLEARED;
21-7-2020 08:05:22;21011060;36C;21-7-2020 07:57:09;D05;WDY2W;CLEARED;
21-7-2020 08:05:21;21011104;05;21-7-2020 07:57:22;I5;;CLEARED;
21-7-2020 08:05:22;21010992;21;21-7-2020 07:57:37;;LER2M;CLEARED;
21-7-2020 08:05:22;21010948;36L;21-7-2020 07:58:36;A55;VOL2V;CLEARED;
21-7-2020 08:20:15;21010966;36C;21-7-2020 07:59:32;C11;WDY2W;CLEARED;
21-7-2020 08:20:15;21010961;36L;21-7-2020 07:59:50;A46;BER4V;CLEARED;
21-7-2020 05:20:13;21010984;;21-7-2020 08:00:00;;;CLEARED;
21-7-2020 05:20:13;21010989;;21-7-2020 08:00:00;;;CLEARED;
21-7-2020 05:20:13;21010991;;21-7-2020 08:00:00;;;CLEARED;
21-7-2020 07:50:16;21011103;23;21-7-2020 08:00:00;;;CLEARED;
21-7-2020 08:20:15;21010962;36L;21-7-2020 08:00:48;D48;SPY3V;CLEARED;
21-7-2020 08:20:15;21010967;36C;21-7-2020 08:01:09;C07;WDY2W;CLEARED;
21-7-2020 08:20:15;21010988;06;21-7-2020 08:01:41;JA;WDY1A;CLEARED;
21-7-2020 08:20:15;21010983;03;21-7-2020 08:01:43;;WDY5J;CLEARED;
21-7-2020 08:20:15;21010922;36L;21-7-2020 08:02:15;S79;BER4V;CLEARED;
21-7-2020 08:20:15;21010949;36C;21-7-2020 08:02:31;A41;WDY2W;CLEARED;
21-7-2020 08:20:15;21011227;05;21-7-2020 08:02:42;FS;;CLEARED;
21-7-2020 08:20:16;21011131;36C;21-7-2020 08:03:48;R80;NYK4W;CLEARED;
21-7-2020 08:20:16;21010960;36L;21-7-2020 08:04:28;C06;SPY3V;CLEARED;
21-7-2020 08:05:21;21010996;21;21-7-2020 08:05:00;;VFR Z;CLEARED;
21-7-2020 08:20:16;21010969;36L;21-7-2020 08:06:01;A71;BER4V;CLEARED;
21-7-2020 08:20:16;21010946;36C;21-7-2020 08:06:02;D02;WDY2W;CLEARED;
21-7-2020 08:20:16;21011263;05;21-7-2020 08:06:07;H;;CLEARED;
21-7-2020 08:20:17;21010971;36C;21-7-2020 08:07:10;D22;IVL3W;CLEARED;
21-7-2020 08:20:16;21010977;03;21-7-2020 08:07:19;;VEL2J;CLEARED;
21-7-2020 08:20:17;21011185;25;21-7-2020 08:07:28;;VFR G;CLEARED;
21-7-2020 08:20:17;21011175;05;21-7-2020 08:08:26;G;;CLEARED;
21-7-2020 08:20:17;21010986;36C;21-7-2020 08:08:40;D54;IVL3W;CLEARED;
21-7-2020 08:35:15;21011249;06;21-7-2020 08:10:00;L;;CLEARED;
21-7-2020 08:20:17;21011010;36C;21-7-2020 08:10:07;F09;WDY2W;CLEARED;
21-7-2020 08:20:18;21010987;36L;21-7-2020 08:11:51;C18;SPY3V;CLEARED;
21-7-2020 08:20:18;21010990;36C;21-7-2020 08:12:25;B15;IVL3W;CLEARED;
21-7-2020 08:20:18;21010985;36L;21-7-2020 08:12:58;H01;BER4V;CLEARED;
21-7-2020 08:35:15;21011061;03;21-7-2020 08:14:00;;;CLEARED;
21-7-2020 08:35:15;21010995;36C;21-7-2020 08:14:49;D55;WDY2W;CLEARED;
21-7-2020 05:35:17;21011013;;21-7-2020 08:15:00;;;CLEARED;
21-7-2020 05:35:17;21011020;;21-7-2020 08:15:00;;;CLEARED;
21-7-2020 07:35:14;21011140;23;21-7-2020 08:15:00;;;CLEARED;
21-7-2020 08:20:16;21011320;;21-7-2020 08:15:00;;;CLEARED;
21-7-2020 08:35:15;21011030;36L;21-7-2020 08:15:07;R81;SPY3V;CLEARED;
21-7-2020 08:35:15;21010925;06;21-7-2020 08:16:00;L;;CLEARED;
21-7-2020 08:35:15;21011053;;21-7-2020 08:16:00;;;CLEARED;
21-7-2020 08:35:15;21011001;36C;21-7-2020 08:16:14;D18;IVL3W;CLEARED;
21-7-2020 07:35:12;21011208;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 07:35:12;21011209;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 07:35:12;21011210;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 07:35:12;21011211;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 07:35:12;21011213;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 07:35:12;21011214;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 08:35:15;21011015;06;21-7-2020 08:17:22;HGR;;CLEARED;
21-7-2020 08:35:16;21011009;36C;21-7-2020 08:18:01;A63;IVL3W;CLEARED;
21-7-2020 08:35:15;21010958;05;21-7-2020 08:18:10;FS;;CLEARED;
21-7-2020 08:35:16;21011016;36L;21-7-2020 08:18:34;A64;VOL2V;CLEARED;
21-7-2020 08:35:16;21010976;36C;21-7-2020 08:19:30;C10;IVL3W;CLEARED;
21-7-2020 08:35:16;21011007;36L;21-7-2020 08:20:00;B94;BER4V;CLEARED;
21-7-2020 08:35:16;21011070;;21-7-2020 08:20:00;;;CLEARED;
21-7-2020 08:35:16;21011029;36C;21-7-2020 08:20:21;D41;WDY2W;CLEARED;
21-7-2020 08:35:17;21010999;36C;21-7-2020 08:22:10;B27;IVL3W;CLEARED;
21-7-2020 08:20:18;21011340;;21-7-2020 08:23:00;;;CLEARED;
21-7-2020 08:35:17;21011018;36C;21-7-2020 08:23:40;D24;IVL3W;CLEARED;
21-7-2020 08:35:17;21010975;36C;21-7-2020 08:25:03;A35;IVL3W;CLEARED;
21-7-2020 08:35:18;21011039;36L;21-7-2020 08:25:18;D27;BER4V;CLEARED;
21-7-2020 08:35:18;21011019;36C;21-7-2020 08:26:42;B31;WDY2W;CLEARED;
21-7-2020 08:35:18;21011011;36C;21-7-2020 08:27:43;D04;NYK4W;CLEARED;
21-7-2020 08:50:14;21011023;36L;21-7-2020 08:30:17;A44;SPY3V;CLEARED;
21-7-2020 08:50:18;21011264;;21-7-2020 08:31:00;;;CLEARED;
21-7-2020 08:50:14;21011370;23;21-7-2020 08:31:00;;;CLEARED;
21-7-2020 08:50:15;21011048;36C;21-7-2020 08:32:29;A61;NYK4W;CLEARED;
